[s],CH1[V]
5.44931E-01,2.000E-03
5.44971E-01,1.600E-03
5.45011E-01,2.000E-03
5.45051E-01,1.600E-03
5.45091E-01,2.000E-03
5.45131E-01,1.200E-03
5.45171E-01,1.600E-03
5.45211E-01,1.600E-03
5.45251E-01,1.600E-03
5.45291E-01,8.000E-04
5.45331E-01,1.600E-03
5.45371E-01,1.600E-03
5.45411E-01,2.000E-03
5.45451E-01,1.600E-03
5.45491E-01,1.600E-03
5.45531E-01,1.600E-03
5.45571E-01,1.600E-03
5.45611E-01,2.000E-03
5.45651E-01,2.400E-03
5.45691E-01,1.600E-03
5.45731E-01,2.000E-03
5.45771E-01,1.200E-03
5.45811E-01,1.600E-03
5.45851E-01,2.000E-03
5.45891E-01,1.200E-03
5.45931E-01,1.200E-03
5.45971E-01,2.000E-03
5.46011E-01,1.600E-03
5.46051E-01,2.000E-03
5.46091E-01,2.000E-03
5.46131E-01,1.600E-03
5.46171E-01,1.600E-03
5.46211E-01,2.400E-03
5.46251E-01,1.600E-03
5.46291E-01,1.600E-03
5.46331E-01,1.600E-03
5.46371E-01,2.000E-03
5.46411E-01,2.400E-03
5.46451E-01,1.600E-03
5.46491E-01,2.000E-03
5.46531E-01,2.000E-03
5.46571E-01,1.600E-03
5.46612E-01,2.000E-03
5.46652E-01,2.000E-03
5.46692E-01,2.000E-03
5.46732E-01,2.000E-03
5.46772E-01,2.000E-03
5.46812E-01,1.200E-03
5.46852E-01,2.000E-03
5.46892E-01,1.600E-03
5.46932E-01,1.600E-03
5.46972E-01,1.600E-03
5.47012E-01,8.000E-04
5.47052E-01,2.000E-03
5.47092E-01,2.000E-03
5.47132E-01,1.200E-03
5.47172E-01,1.600E-03
5.47212E-01,1.600E-03
5.47252E-01,1.200E-03
5.47292E-01,1.600E-03
5.47332E-01,2.400E-03
5.47372E-01,2.000E-03
5.47412E-01,1.600E-03
5.47452E-01,1.200E-03
5.47492E-01,1.200E-03
5.47532E-01,1.600E-03
5.47572E-01,1.200E-03
5.47612E-01,1.200E-03
5.47652E-01,2.000E-03
5.47692E-01,1.600E-03
5.47732E-01,1.600E-03
5.47772E-01,1.600E-03
5.47812E-01,1.600E-03
5.47852E-01,1.200E-03
5.47892E-01,1.200E-03
5.47932E-01,1.200E-03
5.47972E-01,1.200E-03
5.48012E-01,1.200E-03
5.48052E-01,1.200E-03
5.48092E-01,2.000E-03
5.48132E-01,8.000E-04
