[s],CH1[V]
6.47609E-01,-1.200E-03
6.47649E-01,-1.600E-03
6.47689E-01,-1.200E-03
6.47729E-01,-1.200E-03
6.47769E-01,-1.200E-03
6.47809E-01,-8.000E-04
6.47849E-01,-1.200E-03
6.47889E-01,-8.000E-04
6.47929E-01,-1.200E-03
6.47969E-01,-8.000E-04
6.48009E-01,-1.200E-03
6.48049E-01,-8.000E-04
6.48089E-01,-1.200E-03
6.48129E-01,-1.200E-03
6.48169E-01,-1.600E-03
6.48210E-01,-1.200E-03
6.48250E-01,-8.000E-04
6.48290E-01,-1.200E-03
6.48330E-01,-1.200E-03
6.48370E-01,-2.000E-03
6.48410E-01,-1.200E-03
6.48450E-01,-1.200E-03
6.48490E-01,-4.000E-04
6.48530E-01,-1.200E-03
6.48570E-01,-8.000E-04
6.48610E-01,-1.200E-03
6.48650E-01,-8.000E-04
6.48690E-01,-1.600E-03
6.48730E-01,-1.200E-03
6.48770E-01,-8.000E-04
6.48810E-01,-1.200E-03
6.48850E-01,-1.200E-03
6.48890E-01,-1.200E-03
6.48930E-01,-1.600E-03
6.48970E-01,-1.200E-03
6.49010E-01,-1.600E-03
6.49050E-01,-1.200E-03
6.49090E-01,-1.200E-03
6.49130E-01,-1.200E-03
6.49170E-01,-8.000E-04
6.49210E-01,-1.200E-03
6.49250E-01,-8.000E-04
6.49290E-01,-1.600E-03
6.49330E-01,-1.200E-03
6.49370E-01,-1.200E-03
6.49410E-01,-8.000E-04
6.49450E-01,-8.000E-04
6.49490E-01,-8.000E-04
6.49530E-01,-8.000E-04
6.49570E-01,-8.000E-04
6.49610E-01,-1.200E-03
6.49650E-01,-8.000E-04
6.49690E-01,-8.000E-04
6.49730E-01,-8.000E-04
6.49770E-01,-1.200E-03
6.49810E-01,-1.600E-03
6.49850E-01,-1.200E-03
6.49890E-01,-1.600E-03
6.49930E-01,-1.200E-03
6.49970E-01,-1.200E-03
6.50010E-01,-8.000E-04
6.50050E-01,-1.600E-03
6.50090E-01,-8.000E-04
6.50130E-01,-1.600E-03
6.50170E-01,-1.200E-03
6.50211E-01,-1.200E-03
6.50251E-01,-8.000E-04
6.50291E-01,-1.200E-03
6.50331E-01,-1.200E-03
6.50371E-01,-1.600E-03
6.50411E-01,-1.200E-03
6.50451E-01,-1.600E-03
6.50491E-01,-8.000E-04
6.50531E-01,-1.200E-03
6.50571E-01,-1.200E-03
6.50611E-01,-8.000E-04
6.50651E-01,-1.600E-03
6.50691E-01,-8.000E-04
6.50731E-01,-2.000E-03
6.50771E-01,-1.200E-03
6.50811E-01,-1.200E-03
6.50851E-01,-1.200E-03
6.50891E-01,-1.200E-03
6.50931E-01,-1.200E-03
6.50971E-01,-2.000E-03
6.51011E-01,-1.200E-03
6.51051E-01,-1.200E-03
6.51091E-01,-1.200E-03
6.51131E-01,-1.200E-03
6.51171E-01,-1.200E-03
6.51211E-01,-1.200E-03
6.51251E-01,-1.200E-03
6.51291E-01,-1.200E-03
6.51331E-01,-1.200E-03
6.51371E-01,-1.600E-03
6.51411E-01,-2.000E-03
6.51451E-01,-1.600E-03
6.51491E-01,-1.600E-03
6.51531E-01,-2.000E-03
6.51571E-01,-1.600E-03
6.51611E-01,-1.600E-03
6.51651E-01,-1.200E-03
6.51691E-01,-1.600E-03
6.51731E-01,-1.200E-03
6.51771E-01,-2.000E-03
6.51811E-01,-1.200E-03
6.51851E-01,-1.200E-03
6.51891E-01,-2.000E-03
6.51931E-01,-1.600E-03
6.51971E-01,-1.200E-03
6.52011E-01,-2.000E-03
6.52051E-01,-2.400E-03
6.52091E-01,-2.400E-03
6.52131E-01,-1.600E-03
6.52171E-01,-1.200E-03
6.52212E-01,-1.600E-03
6.52252E-01,-1.200E-03
6.52292E-01,-1.200E-03
6.52332E-01,-2.000E-03
6.52372E-01,-1.600E-03
6.52412E-01,-2.000E-03
6.52452E-01,-1.200E-03
